id,年度,施設名,キャッチコピー,公式記事URL,公式掲載区分,公式掲載確認日,参考住所,緯度,経度,参考uMap一致名称,参考情報注記,国土地理院検索住所,国土地理院結果住所,国土地理院経度,国土地理院緯度,国土地理院取得状態,国土地理院API_URL,場所分類,場所分類根拠
34,令和5年度,CHICACU BookStore（移転）→本と喫茶 夢中飛行,夢に一歩近づく後押しをしてくれる、わたしたちの隠れ家的本屋さん,https://artscouncil-saitama.jp/library/survey/muchu-hiko/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市大宮区高鼻町1-56NRK大宮2F,35.910117,139.62989,CHICACU Design Office & Bookstore,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市大宮区高鼻町1-56 NRK大宮2F,埼玉県さいたま市大宮区高鼻町一丁目,139.629379,35.913284,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E9%AB%98%E9%BC%BB%E7%94%BA1-56%20NRK%E5%A4%A7%E5%AE%AE2F,本・買い物,本・生活文化・作品等を選び購入できる場としての性格を主と判断
35,令和5年度,師岡制作所,『アーティストランスペース』本物のアートに触れてもらう場所,https://artscouncil-saitama.jp/library/survey/morooka-seisakujo/,調査済みリスト掲載,2026-08-02,見沼区大字膝子345-6,35.917546,139.690111,師岡制作所,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市見沼区大字膝子345-6,埼玉県さいたま市見沼区膝子３４５番地,139.689545,35.917713,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E8%A6%8B%E6%B2%BC%E5%8C%BA%E5%A4%A7%E5%AD%97%E8%86%9D%E5%AD%90345-6,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
36,令和6年度,コバルト画房,戦後まもなくから続く老舗の画材販売店,https://artscouncil-saitama.jp/library/survey/cobalt/,調査済みリスト掲載,2026-08-02,浦和区仲町 2-16-15,35.859105,139.650473,コバルト画房,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市浦和区仲町 2-16-15,埼玉県さいたま市浦和区仲町二丁目１６番１５号,139.650421,35.859146,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E4%BB%B2%E7%94%BA%202-16-15,ものづくり・体験,制作・工房・体験活動の場としての性格を主と判断
37,令和6年度,東光寺（大宮）,“寺”とは本来どういう場所なのかを考えた末の“からくり”がたくさん在る場所,https://artscouncil-saitama.jp/library/survey/toukouji/,調査済みリスト掲載,2026-08-02,,,,,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,,,,,住所なし,,文化・自然,寺院・農・自然文化を継承し体験する場としての性格を主と判断
38,令和6年度,Nook&Park （ヌックパーク）,親と子が健やかに成長する場づくり,https://artscouncil-saitama.jp/library/survey/nookpark/,調査済みリスト掲載,2026-08-02,岩槻区本町3-10-17,35.949769,139.695014,ヌックパーク,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市岩槻区本町3-10-17,埼玉県さいたま市岩槻区本町三丁目１０番１７号,139.695068,35.949524,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%B2%A9%E6%A7%BB%E5%8C%BA%E6%9C%AC%E7%94%BA3-10-17,地域・居場所,地域の人が集まり活動できる居場所としての性格を主と判断
39,令和6年度,ｍárú（マールーウ）,地元食材たっぷりの美味しいごはんと、秘密の花園のような四季折々のガーデンが、アーティスティック！,https://artscouncil-saitama.jp/library/survey/maru/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市大宮区北袋町1-236,35.89121,139.642051,maru/マールーウ,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市大宮区北袋町1-236,埼玉県さいたま市大宮区北袋町一丁目２３６番地,139.641754,35.89156,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E5%8C%97%E8%A2%8B%E7%94%BA1-236,飲食・交流,カフェ・飲食を介した交流の場としての性格を主と判断
40,令和6年度,水野書店＆Cafe mao-mao,長い歴史を重ねた老舗書店と地元民が憩うカフェギャラリー,https://artscouncil-saitama.jp/library/survey/mizuno-bk/,調査済みリスト掲載,2026-08-02,,,,,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,,,,,住所なし,,本・買い物,本・生活文化・作品等を選び購入できる場としての性格を主と判断
41,令和7年度,エシカルcafe としょかんのとなり,心と体に優しい場所,https://artscouncil-saitama.jp/library/survey/ethicalcafe/,調査済みリスト掲載,2026-08-02,,,,,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,,,,,住所なし,,飲食・交流,カフェ・飲食を介した交流の場としての性格を主と判断
42,令和7年度,絵本と珈琲 ルナール,大切なことは、絵本の中に,https://artscouncil-saitama.jp/library/survey/renard/,調査済みリスト掲載,2026-08-02,,,,,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,,,,,住所なし,,本・買い物,本・生活文化・作品等を選び購入できる場としての性格を主と判断
43,令和7年度,大西屋酒店（MATCHBOX）,シドニーで生まれたOhnisiya World,https://artscouncil-saitama.jp/library/survey/ohnisiya/,調査済みリスト掲載,2026-08-02,大宮区大門町3丁目207,35.909504,139.629316,大西屋,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市大宮区大門町3丁目207,埼玉県さいたま市大宮区大門町三丁目２０７番地,139.629181,35.909267,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E5%A4%A7%E9%96%80%E7%94%BA3%E4%B8%81%E7%9B%AE207,本・買い物,本・生活文化・作品等を選び購入できる場としての性格を主と判断
44,令和7年度,北浦和イッカイ,商店街の一階で、お試しに一回,https://artscouncil-saitama.jp/library/survey/ikkai/,調査済みリスト掲載,2026-08-02,,,,,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,,,,,住所なし,,地域・居場所,地域の人が集まり活動できる居場所としての性格を主と判断
45,令和7年度,Be ACTO武蔵浦和マチノバ,はじめたい、やってみたいが実現する「町の場」,https://artscouncil-saitama.jp/library/survey/be-acto/,調査済みリスト掲載,2026-08-02,,,,,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,,,,,住所なし,,地域・居場所,地域の人が集まり活動できる居場所としての性格を主と判断
